Person ID,Party,Type
3A,democrat,handicapped-infants
4A,democrat,handicapped-infants
5A,democrat,handicapped-infants
6A,democrat,handicapped-infants
7A,democrat,handicapped-infants
8A,republican,handicapped-infants
9A,democrat,handicapped-infants
11A,democrat,handicapped-infants
13A,democrat,handicapped-infants
15A,republican,handicapped-infants
17A,democrat,handicapped-infants
18A,democrat,handicapped-infants
19A,democrat,handicapped-infants
20A,democrat,handicapped-infants
21A,democrat,handicapped-infants
22A,democrat,handicapped-infants
23A,republican,handicapped-infants
29A,democrat,handicapped-infants
30A,republican,handicapped-infants
33A,democrat,handicapped-infants
34A,republican,handicapped-infants
35A,republican,handicapped-infants
36A,democrat,handicapped-infants
39A,democrat,handicapped-infants
47A,democrat,handicapped-infants
48A,democrat,handicapped-infants
49A,democrat,handicapped-infants
50A,democrat,handicapped-infants
51A,democrat,handicapped-infants
52A,democrat,handicapped-infants
53A,democrat,handicapped-infants
54A,democrat,handicapped-infants
55A,democrat,handicapped-infants
58A,democrat,handicapped-infants
59A,republican,handicapped-infants
68A,democrat,handicapped-infants
75A,republican,handicapped-infants
79A,republican,handicapped-infants
85A,republican,handicapped-infants
86A,republican,handicapped-infants
87A,democrat,handicapped-infants
91A,democrat,handicapped-infants
95A,democrat,handicapped-infants
99A,democrat,handicapped-infants
100A,democrat,handicapped-infants
101A,democrat,handicapped-infants
105A,democrat,handicapped-infants
110A,republican,handicapped-infants
121A,democrat,handicapped-infants
123A,democrat,handicapped-infants
124A,democrat,handicapped-infants
125A,democrat,handicapped-infants
128A,democrat,handicapped-infants
130A,democrat,handicapped-infants
131A,democrat,handicapped-infants
134A,democrat,handicapped-infants
135A,democrat,handicapped-infants
136A,democrat,handicapped-infants
138A,republican,handicapped-infants
139A,democrat,handicapped-infants
140A,democrat,handicapped-infants
141A,republican,handicapped-infants
149A,democrat,handicapped-infants
150A,democrat,handicapped-infants
151A,democrat,handicapped-infants
161A,democrat,handicapped-infants
164A,democrat,handicapped-infants
168A,democrat,handicapped-infants
170A,democrat,handicapped-infants
172A,democrat,handicapped-infants
174A,democrat,handicapped-infants
177A,democrat,handicapped-infants
178A,democrat,handicapped-infants
179A,republican,handicapped-infants
185A,republican,handicapped-infants
190A,republican,handicapped-infants
193A,democrat,handicapped-infants
194A,democrat,handicapped-infants
195A,republican,handicapped-infants
196A,republican,handicapped-infants
204A,democrat,handicapped-infants
205A,democrat,handicapped-infants
206A,democrat,handicapped-infants
207A,democrat,handicapped-infants
208A,republican,handicapped-infants
209A,democrat,handicapped-infants
212A,republican,handicapped-infants
214A,democrat,handicapped-infants
218A,democrat,handicapped-infants
220A,democrat,handicapped-infants
221A,republican,handicapped-infants
222A,democrat,handicapped-infants
223A,democrat,handicapped-infants
224A,democrat,handicapped-infants
225A,republican,handicapped-infants
229A,democrat,handicapped-infants
1A,democrat,water-project-cost-sharing
2A,republican,water-project-cost-sharing
3A,democrat,water-project-cost-sharing
4A,democrat,water-project-cost-sharing
7A,democrat,water-project-cost-sharing
9A,democrat,water-project-cost-sharing
10A,republican,water-project-cost-sharing
11A,democrat,water-project-cost-sharing
12A,republican,water-project-cost-sharing
13A,democrat,water-project-cost-sharing
14A,republican,water-project-cost-sharing
15A,republican,water-project-cost-sharing
16A,republican,water-project-cost-sharing
20A,democrat,water-project-cost-sharing
21A,democrat,water-project-cost-sharing
22A,democrat,water-project-cost-sharing
23A,republican,water-project-cost-sharing
24A,republican,water-project-cost-sharing
25A,republican,water-project-cost-sharing
26A,republican,water-project-cost-sharing
27A,republican,water-project-cost-sharing
28A,republican,water-project-cost-sharing
29A,democrat,water-project-cost-sharing
30A,republican,water-project-cost-sharing
31A,republican,water-project-cost-sharing
32A,republican,water-project-cost-sharing
33A,democrat,water-project-cost-sharing
34A,republican,water-project-cost-sharing
37A,democrat,water-project-cost-sharing
38A,democrat,water-project-cost-sharing
39A,democrat,water-project-cost-sharing
46A,democrat,water-project-cost-sharing
52A,democrat,water-project-cost-sharing
55A,democrat,water-project-cost-sharing
56A,republican,water-project-cost-sharing
59A,republican,water-project-cost-sharing
60A,democrat,water-project-cost-sharing
66A,republican,water-project-cost-sharing
71A,republican,water-project-cost-sharing
73A,republican,water-project-cost-sharing
75A,republican,water-project-cost-sharing
76A,democrat,water-project-cost-sharing
78A,republican,water-project-cost-sharing
79A,republican,water-project-cost-sharing
80A,republican,water-project-cost-sharing
81A,democrat,water-project-cost-sharing
83A,democrat,water-project-cost-sharing
84A,republican,water-project-cost-sharing
89A,democrat,water-project-cost-sharing
94A,democrat,water-project-cost-sharing
99A,democrat,water-project-cost-sharing
105A,democrat,water-project-cost-sharing
107A,republican,water-project-cost-sharing
109A,democrat,water-project-cost-sharing
110A,republican,water-project-cost-sharing
111A,republican,water-project-cost-sharing
112A,democrat,water-project-cost-sharing
115A,republican,water-project-cost-sharing
116A,republican,water-project-cost-sharing
117A,republican,water-project-cost-sharing
118A,republican,water-project-cost-sharing
126A,republican,water-project-cost-sharing
127A,republican,water-project-cost-sharing
128A,democrat,water-project-cost-sharing
129A,republican,water-project-cost-sharing
140A,democrat,water-project-cost-sharing
149A,democrat,water-project-cost-sharing
151A,democrat,water-project-cost-sharing
153A,democrat,water-project-cost-sharing
154A,democrat,water-project-cost-sharing
164A,democrat,water-project-cost-sharing
165A,republican,water-project-cost-sharing
166A,republican,water-project-cost-sharing
169A,democrat,water-project-cost-sharing
170A,democrat,water-project-cost-sharing
171A,republican,water-project-cost-sharing
172A,democrat,water-project-cost-sharing
173A,republican,water-project-cost-sharing
174A,democrat,water-project-cost-sharing
175A,republican,water-project-cost-sharing
186A,republican,water-project-cost-sharing
187A,democrat,water-project-cost-sharing
194A,democrat,water-project-cost-sharing
195A,republican,water-project-cost-sharing
196A,republican,water-project-cost-sharing
197A,democrat,water-project-cost-sharing
198A,democrat,water-project-cost-sharing
199A,republican,water-project-cost-sharing
200A,republican,water-project-cost-sharing
201A,democrat,water-project-cost-sharing
204A,democrat,water-project-cost-sharing
205A,democrat,water-project-cost-sharing
206A,democrat,water-project-cost-sharing
207A,democrat,water-project-cost-sharing
208A,republican,water-project-cost-sharing
209A,democrat,water-project-cost-sharing
210A,democrat,water-project-cost-sharing
211A,republican,water-project-cost-sharing
212A,republican,water-project-cost-sharing
220A,democrat,water-project-cost-sharing
221A,republican,water-project-cost-sharing
222A,democrat,water-project-cost-sharing
223A,democrat,water-project-cost-sharing
224A,democrat,water-project-cost-sharing
225A,republican,water-project-cost-sharing
226A,democrat,water-project-cost-sharing
228A,democrat,water-project-cost-sharing
1A,democrat,adoption-of-the-budget-resolution
3A,democrat,adoption-of-the-budget-resolution
4A,democrat,adoption-of-the-budget-resolution
5A,democrat,adoption-of-the-budget-resolution
6A,democrat,adoption-of-the-budget-resolution
7A,democrat,adoption-of-the-budget-resolution
9A,democrat,adoption-of-the-budget-resolution
11A,democrat,adoption-of-the-budget-resolution
13A,democrat,adoption-of-the-budget-resolution
17A,democrat,adoption-of-the-budget-resolution
18A,democrat,adoption-of-the-budget-resolution
19A,democrat,adoption-of-the-budget-resolution
20A,democrat,adoption-of-the-budget-resolution
21A,democrat,adoption-of-the-budget-resolution
22A,democrat,adoption-of-the-budget-resolution
29A,democrat,adoption-of-the-budget-resolution
33A,democrat,adoption-of-the-budget-resolution
34A,republican,adoption-of-the-budget-resolution
35A,republican,adoption-of-the-budget-resolution
36A,democrat,adoption-of-the-budget-resolution
37A,democrat,adoption-of-the-budget-resolution
38A,democrat,adoption-of-the-budget-resolution
39A,democrat,adoption-of-the-budget-resolution
43A,democrat,adoption-of-the-budget-resolution
46A,democrat,adoption-of-the-budget-resolution
47A,democrat,adoption-of-the-budget-resolution
48A,democrat,adoption-of-the-budget-resolution
49A,democrat,adoption-of-the-budget-resolution
50A,democrat,adoption-of-the-budget-resolution
52A,democrat,adoption-of-the-budget-resolution
54A,democrat,adoption-of-the-budget-resolution
55A,democrat,adoption-of-the-budget-resolution
57A,democrat,adoption-of-the-budget-resolution
58A,democrat,adoption-of-the-budget-resolution
59A,republican,adoption-of-the-budget-resolution
60A,democrat,adoption-of-the-budget-resolution
63A,democrat,adoption-of-the-budget-resolution
67A,democrat,adoption-of-the-budget-resolution
68A,democrat,adoption-of-the-budget-resolution
74A,democrat,adoption-of-the-budget-resolution
76A,democrat,adoption-of-the-budget-resolution
77A,democrat,adoption-of-the-budget-resolution
83A,democrat,adoption-of-the-budget-resolution
85A,republican,adoption-of-the-budget-resolution
86A,republican,adoption-of-the-budget-resolution
87A,democrat,adoption-of-the-budget-resolution
89A,democrat,adoption-of-the-budget-resolution
90A,republican,adoption-of-the-budget-resolution
91A,democrat,adoption-of-the-budget-resolution
92A,democrat,adoption-of-the-budget-resolution
93A,democrat,adoption-of-the-budget-resolution
94A,democrat,adoption-of-the-budget-resolution
95A,democrat,adoption-of-the-budget-resolution
97A,democrat,adoption-of-the-budget-resolution
98A,democrat,adoption-of-the-budget-resolution
99A,democrat,adoption-of-the-budget-resolution
100A,democrat,adoption-of-the-budget-resolution
101A,democrat,adoption-of-the-budget-resolution
102A,republican,adoption-of-the-budget-resolution
103A,democrat,adoption-of-the-budget-resolution
105A,democrat,adoption-of-the-budget-resolution
106A,democrat,adoption-of-the-budget-resolution
108A,democrat,adoption-of-the-budget-resolution
109A,democrat,adoption-of-the-budget-resolution
112A,democrat,adoption-of-the-budget-resolution
114A,democrat,adoption-of-the-budget-resolution
115A,republican,adoption-of-the-budget-resolution
120A,democrat,adoption-of-the-budget-resolution
121A,democrat,adoption-of-the-budget-resolution
123A,democrat,adoption-of-the-budget-resolution
124A,democrat,adoption-of-the-budget-resolution
125A,democrat,adoption-of-the-budget-resolution
128A,democrat,adoption-of-the-budget-resolution
130A,democrat,adoption-of-the-budget-resolution
131A,democrat,adoption-of-the-budget-resolution
133A,democrat,adoption-of-the-budget-resolution
134A,democrat,adoption-of-the-budget-resolution
135A,democrat,adoption-of-the-budget-resolution
136A,democrat,adoption-of-the-budget-resolution
139A,democrat,adoption-of-the-budget-resolution
140A,democrat,adoption-of-the-budget-resolution
143A,republican,adoption-of-the-budget-resolution
146A,democrat,adoption-of-the-budget-resolution
148A,democrat,adoption-of-the-budget-resolution
149A,democrat,adoption-of-the-budget-resolution
150A,democrat,adoption-of-the-budget-resolution
151A,democrat,adoption-of-the-budget-resolution
152A,republican,adoption-of-the-budget-resolution
154A,democrat,adoption-of-the-budget-resolution
163A,democrat,adoption-of-the-budget-resolution
164A,democrat,adoption-of-the-budget-resolution
165A,republican,adoption-of-the-budget-resolution
169A,democrat,adoption-of-the-budget-resolution
170A,democrat,adoption-of-the-budget-resolution
174A,democrat,adoption-of-the-budget-resolution
176A,democrat,adoption-of-the-budget-resolution
177A,democrat,adoption-of-the-budget-resolution
178A,democrat,adoption-of-the-budget-resolution
182A,democrat,adoption-of-the-budget-resolution
186A,republican,adoption-of-the-budget-resolution
188A,republican,adoption-of-the-budget-resolution
189A,republican,adoption-of-the-budget-resolution
190A,republican,adoption-of-the-budget-resolution
193A,democrat,adoption-of-the-budget-resolution
194A,democrat,adoption-of-the-budget-resolution
198A,democrat,adoption-of-the-budget-resolution
204A,democrat,adoption-of-the-budget-resolution
205A,democrat,adoption-of-the-budget-resolution
209A,democrat,adoption-of-the-budget-resolution
210A,democrat,adoption-of-the-budget-resolution
214A,democrat,adoption-of-the-budget-resolution
218A,democrat,adoption-of-the-budget-resolution
220A,democrat,adoption-of-the-budget-resolution
222A,democrat,adoption-of-the-budget-resolution
223A,democrat,adoption-of-the-budget-resolution
224A,democrat,adoption-of-the-budget-resolution
225A,republican,adoption-of-the-budget-resolution
226A,democrat,adoption-of-the-budget-resolution
227A,democrat,adoption-of-the-budget-resolution
228A,democrat,adoption-of-the-budget-resolution
229A,democrat,adoption-of-the-budget-resolution
231A,republican,adoption-of-the-budget-resolution
232A,democrat,adoption-of-the-budget-resolution
2A,republican,physician-fee-freeze
8A,republican,physician-fee-freeze
10A,republican,physician-fee-freeze
12A,republican,physician-fee-freeze
14A,republican,physician-fee-freeze
15A,republican,physician-fee-freeze
16A,republican,physician-fee-freeze
23A,republican,physician-fee-freeze
24A,republican,physician-fee-freeze
25A,republican,physician-fee-freeze
26A,republican,physician-fee-freeze
27A,republican,physician-fee-freeze
28A,republican,physician-fee-freeze
30A,republican,physician-fee-freeze
31A,republican,physician-fee-freeze
32A,republican,physician-fee-freeze
34A,republican,physician-fee-freeze
35A,republican,physician-fee-freeze
37A,democrat,physician-fee-freeze
38A,democrat,physician-fee-freeze
40A,republican,physician-fee-freeze
41A,republican,physician-fee-freeze
42A,republican,physician-fee-freeze
44A,republican,physician-fee-freeze
45A,republican,physician-fee-freeze
56A,republican,physician-fee-freeze
59A,republican,physician-fee-freeze
61A,republican,physician-fee-freeze
62A,republican,physician-fee-freeze
64A,republican,physician-fee-freeze
65A,republican,physician-fee-freeze
66A,republican,physician-fee-freeze
69A,republican,physician-fee-freeze
70A,republican,physician-fee-freeze
71A,republican,physician-fee-freeze
73A,republican,physician-fee-freeze
75A,republican,physician-fee-freeze
78A,republican,physician-fee-freeze
79A,republican,physician-fee-freeze
80A,republican,physician-fee-freeze
84A,republican,physician-fee-freeze
85A,republican,physician-fee-freeze
86A,republican,physician-fee-freeze
90A,republican,physician-fee-freeze
102A,republican,physician-fee-freeze
104A,republican,physician-fee-freeze
107A,republican,physician-fee-freeze
110A,republican,physician-fee-freeze
111A,republican,physician-fee-freeze
113A,republican,physician-fee-freeze
115A,republican,physician-fee-freeze
116A,republican,physician-fee-freeze
117A,republican,physician-fee-freeze
118A,republican,physician-fee-freeze
119A,republican,physician-fee-freeze
122A,republican,physician-fee-freeze
126A,republican,physician-fee-freeze
127A,republican,physician-fee-freeze
129A,republican,physician-fee-freeze
132A,republican,physician-fee-freeze
137A,republican,physician-fee-freeze
141A,republican,physician-fee-freeze
142A,republican,physician-fee-freeze
143A,republican,physician-fee-freeze
144A,republican,physician-fee-freeze
145A,republican,physician-fee-freeze
147A,republican,physician-fee-freeze
152A,republican,physician-fee-freeze
155A,republican,physician-fee-freeze
156A,republican,physician-fee-freeze
157A,republican,physician-fee-freeze
158A,republican,physician-fee-freeze
159A,republican,physician-fee-freeze
160A,republican,physician-fee-freeze
162A,republican,physician-fee-freeze
165A,republican,physician-fee-freeze
166A,republican,physician-fee-freeze
171A,republican,physician-fee-freeze
172A,democrat,physician-fee-freeze
173A,republican,physician-fee-freeze
175A,republican,physician-fee-freeze
179A,republican,physician-fee-freeze
180A,republican,physician-fee-freeze
181A,republican,physician-fee-freeze
183A,republican,physician-fee-freeze
184A,republican,physician-fee-freeze
185A,republican,physician-fee-freeze
186A,republican,physician-fee-freeze
188A,republican,physician-fee-freeze
189A,republican,physician-fee-freeze
190A,republican,physician-fee-freeze
191A,republican,physician-fee-freeze
192A,republican,physician-fee-freeze
195A,republican,physician-fee-freeze
196A,republican,physician-fee-freeze
199A,republican,physician-fee-freeze
200A,republican,physician-fee-freeze
201A,democrat,physician-fee-freeze
202A,republican,physician-fee-freeze
203A,republican,physician-fee-freeze
205A,democrat,physician-fee-freeze
208A,republican,physician-fee-freeze
211A,republican,physician-fee-freeze
212A,republican,physician-fee-freeze
213A,republican,physician-fee-freeze
215A,democrat,physician-fee-freeze
216A,republican,physician-fee-freeze
217A,republican,physician-fee-freeze
219A,republican,physician-fee-freeze
221A,republican,physician-fee-freeze
225A,republican,physician-fee-freeze
230A,republican,physician-fee-freeze
231A,republican,physician-fee-freeze
1A,democrat,el-salvador-aid
2A,republican,el-salvador-aid
8A,republican,el-salvador-aid
10A,republican,el-salvador-aid
12A,republican,el-salvador-aid
14A,republican,el-salvador-aid
15A,republican,el-salvador-aid
16A,republican,el-salvador-aid
23A,republican,el-salvador-aid
24A,republican,el-salvador-aid
25A,republican,el-salvador-aid
26A,republican,el-salvador-aid
27A,republican,el-salvador-aid
28A,republican,el-salvador-aid
30A,republican,el-salvador-aid
31A,republican,el-salvador-aid
32A,republican,el-salvador-aid
35A,republican,el-salvador-aid
37A,democrat,el-salvador-aid
38A,democrat,el-salvador-aid
39A,democrat,el-salvador-aid
40A,republican,el-salvador-aid
41A,republican,el-salvador-aid
42A,republican,el-salvador-aid
43A,democrat,el-salvador-aid
44A,republican,el-salvador-aid
45A,republican,el-salvador-aid
46A,democrat,el-salvador-aid
50A,democrat,el-salvador-aid
51A,democrat,el-salvador-aid
53A,democrat,el-salvador-aid
54A,democrat,el-salvador-aid
56A,republican,el-salvador-aid
59A,republican,el-salvador-aid
61A,republican,el-salvador-aid
62A,republican,el-salvador-aid
64A,republican,el-salvador-aid
65A,republican,el-salvador-aid
66A,republican,el-salvador-aid
70A,republican,el-salvador-aid
71A,republican,el-salvador-aid
73A,republican,el-salvador-aid
75A,republican,el-salvador-aid
78A,republican,el-salvador-aid
79A,republican,el-salvador-aid
80A,republican,el-salvador-aid
81A,democrat,el-salvador-aid
82A,democrat,el-salvador-aid
83A,democrat,el-salvador-aid
84A,republican,el-salvador-aid
85A,republican,el-salvador-aid
86A,republican,el-salvador-aid
88A,democrat,el-salvador-aid
102A,republican,el-salvador-aid
104A,republican,el-salvador-aid
107A,republican,el-salvador-aid
110A,republican,el-salvador-aid
111A,republican,el-salvador-aid
113A,republican,el-salvador-aid
115A,republican,el-salvador-aid
116A,republican,el-salvador-aid
117A,republican,el-salvador-aid
118A,republican,el-salvador-aid
119A,republican,el-salvador-aid
122A,republican,el-salvador-aid
126A,republican,el-salvador-aid
127A,republican,el-salvador-aid
129A,republican,el-salvador-aid
132A,republican,el-salvador-aid
137A,republican,el-salvador-aid
141A,republican,el-salvador-aid
142A,republican,el-salvador-aid
143A,republican,el-salvador-aid
144A,republican,el-salvador-aid
145A,republican,el-salvador-aid
147A,republican,el-salvador-aid
149A,democrat,el-salvador-aid
152A,republican,el-salvador-aid
155A,republican,el-salvador-aid
156A,republican,el-salvador-aid
157A,republican,el-salvador-aid
158A,republican,el-salvador-aid
159A,republican,el-salvador-aid
160A,republican,el-salvador-aid
162A,republican,el-salvador-aid
165A,republican,el-salvador-aid
166A,republican,el-salvador-aid
171A,republican,el-salvador-aid
173A,republican,el-salvador-aid
175A,republican,el-salvador-aid
179A,republican,el-salvador-aid
180A,republican,el-salvador-aid
181A,republican,el-salvador-aid
183A,republican,el-salvador-aid
184A,republican,el-salvador-aid
185A,republican,el-salvador-aid
186A,republican,el-salvador-aid
188A,republican,el-salvador-aid
189A,republican,el-salvador-aid
191A,republican,el-salvador-aid
192A,republican,el-salvador-aid
195A,republican,el-salvador-aid
196A,republican,el-salvador-aid
197A,democrat,el-salvador-aid
199A,republican,el-salvador-aid
200A,republican,el-salvador-aid
201A,democrat,el-salvador-aid
202A,republican,el-salvador-aid
203A,republican,el-salvador-aid
204A,democrat,el-salvador-aid
205A,democrat,el-salvador-aid
206A,democrat,el-salvador-aid
208A,republican,el-salvador-aid
209A,democrat,el-salvador-aid
210A,democrat,el-salvador-aid
211A,republican,el-salvador-aid
212A,republican,el-salvador-aid
213A,republican,el-salvador-aid
214A,democrat,el-salvador-aid
215A,democrat,el-salvador-aid
216A,republican,el-salvador-aid
217A,republican,el-salvador-aid
219A,republican,el-salvador-aid
221A,republican,el-salvador-aid
225A,republican,el-salvador-aid
226A,democrat,el-salvador-aid
230A,republican,el-salvador-aid
231A,republican,el-salvador-aid
1A,democrat,religious-groups-in-schools
2A,republican,religious-groups-in-schools
10A,republican,religious-groups-in-schools
12A,republican,religious-groups-in-schools
14A,republican,religious-groups-in-schools
15A,republican,religious-groups-in-schools
16A,republican,religious-groups-in-schools
23A,republican,religious-groups-in-schools
24A,republican,religious-groups-in-schools
25A,republican,religious-groups-in-schools
26A,republican,religious-groups-in-schools
27A,republican,religious-groups-in-schools
28A,republican,religious-groups-in-schools
30A,republican,religious-groups-in-schools
31A,republican,religious-groups-in-schools
32A,republican,religious-groups-in-schools
36A,democrat,religious-groups-in-schools
37A,democrat,religious-groups-in-schools
38A,democrat,religious-groups-in-schools
39A,democrat,religious-groups-in-schools
41A,republican,religious-groups-in-schools
42A,republican,religious-groups-in-schools
43A,democrat,religious-groups-in-schools
44A,republican,religious-groups-in-schools
45A,republican,religious-groups-in-schools
46A,democrat,religious-groups-in-schools
50A,democrat,religious-groups-in-schools
51A,democrat,religious-groups-in-schools
52A,democrat,religious-groups-in-schools
53A,democrat,religious-groups-in-schools
54A,democrat,religious-groups-in-schools
56A,republican,religious-groups-in-schools
61A,republican,religious-groups-in-schools
62A,republican,religious-groups-in-schools
63A,democrat,religious-groups-in-schools
64A,republican,religious-groups-in-schools
65A,republican,religious-groups-in-schools
66A,republican,religious-groups-in-schools
67A,democrat,religious-groups-in-schools
68A,democrat,religious-groups-in-schools
70A,republican,religious-groups-in-schools
71A,republican,religious-groups-in-schools
73A,republican,religious-groups-in-schools
75A,republican,religious-groups-in-schools
76A,democrat,religious-groups-in-schools
77A,democrat,religious-groups-in-schools
78A,republican,religious-groups-in-schools
79A,republican,religious-groups-in-schools
80A,republican,religious-groups-in-schools
81A,democrat,religious-groups-in-schools
82A,democrat,religious-groups-in-schools
